"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1","ANR Pipeline Company","STS","FTS-1","ETS","PTS-2","FSS","NNS","FTS-3","FTS-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Texas Eastern Transmission, LP","FT-1","SS-1","FSS-1","CDS","SCT","FT-1M1","FTS-7","FTS-8","FT-1MX","X-130","FTS-2","FTS","FTS-4",NA,"FT1NJNY","FT1TM12","FT1TM14","FT-1OPN","MLS-1BW","FT-1TMX","LLFT","X-135","X-137","MLS-1HR","MLS-1FA","FT-1OPX","FTS-5","FT-1LBE","MLS-1HS","FT1TME3","FT-1ACS","FT-1PLP","FT-1PEP","FT-1LX","FT-1IRW","FT1TXIM","FT-1LEP","FT-1GM3","FT-1GM1","X-127","X-129","SS","MLS-1FH","FT-1TME","FT1TME2","FT-1NC","MLS-1CB","FT-1L1A","FT-1RIV","FT-1GM2","FT-1ASW","FT-1SR","X-28","X-128","FT-1MEP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Tennessee Gas Pipeline Company, L.L.C.","FS","FT-GS","FT-A","FT-G","FT-BH","FT-IL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Columbia Gulf Transmission, LLC","FTS-1","FTS-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Trunkline Gas Company, LLC","EFT","NNS-1","FT","NNS-2","SST","QNT","FSS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","Gulf South Pipeline Company, LP","NNS-SCO","FTS","FTS-SCO","FTS-P","FSS-P","NNS","FSS-B","FTS-SSO","EFT","NNS-A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","Enable Gas Transmission, LLC","FT","EFT","NNTS","FSS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","Ozark Gas Transmission, L.L.C.","FTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","Natural Gas Pipeline Company of America LLC","FTS","DSS","NSS","FTSG","FFTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","Southern Natural Gas Company, L.L.C.","FT","CSS","FT-NN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","Trans-Union Interstate Pipeline LP","FT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
