power_plant,pipeline_sys,point_name
Acadia Energy Center,ANR Pipeline Company,Acadia Power Plant
Attala Generating,"Texas Eastern Transmission, LP",Attala Generating Company LLC (DEL)
Batesville Generation Facility,"Tennessee Gas Pipeline Company, L.L.C.",Cooperat/Tgp Batesville Panola
Baxter Wilson,"Columbia Gulf Transmission, LLC",Entergy Mississippi
Big Cajun 1,"Texas Eastern Transmission, LP","NRG - Big Cajun Electric, Coupee Psh., LA"
Big Cajun 1 Peaking,"Texas Eastern Transmission, LP","NRG - Big Cajun Electric, Coupee Psh., LA"
Big Cajun 2,"Texas Eastern Transmission, LP",NRG Energy/Big Cajun II Power Plant-Woodmen Lane
Brame Energy Center (Rodemacher 1) (Nesbitt Unit 1),"Trunkline Gas Company, LLC",Cleco Rodemaker Interconnect
Calcasieu Generation,"Gulf South Pipeline Company, LP",Calcasieu Power Lake Charles
Choctaw County,"Texas Eastern Transmission, LP","Entergy Mississippi, Llc-Choctaw Co., Ms"
Cottonwood Energy,"Texas Eastern Transmission, LP","Cottonwood Energy Company, LP - Newton Co., TX"
Coughlin Power Station (Evangeline),"Columbia Gulf Transmission, LLC",Cle-Evangeline
Dell Power Station,"Enable Gas Transmission, LLC",Dell Power Plant
Fitzhugh CC,"Ozark Gas Transmission, L.L.C.",AECC Power 2 Inch Meter (185002000)
Fulton Plant,Natural Gas Pipeline Company of America LLC,AECC/NGPL Wrightsville - Fulton CDP
Gerald Andrus,"Tennessee Gas Pipeline Company, L.L.C.",Ent MS/TGP Power Rivers Sales Washi
Harrison County Power Project,"Gulf South Pipeline Company, LP",Marshall Power Plant (Entergy)
Hinds Energy Facility,"Texas Eastern Transmission, LP",Hinds Power Plant
Hot Spring Energy Facility,"Texas Eastern Transmission, LP","Hot Spring Power Plant, Hot Spring Co, AR"
John L McClellan,"Enable Gas Transmission, LLC",Ark Elec Camden Pwr Plt
Lake Catherine,"Enable Gas Transmission, LLC",Entergy @ Catherine
Lewis Creek,"Texas Eastern Transmission, LP","Entergy - Lewis Creek / Montgomery County, TX"
Magnet Cove (Hot Spring Power Project),"Enable Gas Transmission, LLC",Magnet Cove Gen Station
Mansfield Mill,"Gulf South Pipeline Company, LP",International Paper @ Mansfield
Mansfield Mill CT,"Gulf South Pipeline Company, LP",International Paper @ Mansfield
Mississippi Chemical Corporation,"Texas Eastern Transmission, LP","Mississippi Chemical - Yazoo City, MS"
Ouachita Power,"Tennessee Gas Pipeline Company, L.L.C.",Bbtmidla/Tgp Fairbanks Ouachita
Perryville CC,"Tennessee Gas Pipeline Company, L.L.C.",Entrgyla/TGP Perryville Power Ouach
PPG Powerhouse C,"Gulf South Pipeline Company, LP",PPG Industries: Lake Charles Plant
Silver Creek CT,"Southern Natural Gas Company, L.L.C.",Bbtmiss/Sng Silver Creek Jefferson
Taft,"Gulf South Pipeline Company, LP",Union Carbide @ Taft
Union Power Facility,Trans-Union Interstate Pipeline LP,TUIP to Union Power Plant
