begin_date_diff,end_date_diff,date_diff,pipeline
9/21/2019,9/27/2019,6,Northwest Pipeline LLC
1/13/2020,1/17/2020,4,Northern Natural Gas Company
2/2/2020,2/4/2020,2,Northern Natural Gas Company
3/4/2020,4/1/2020,28,Northern Natural Gas Company
4/1/2020,4/15/2020,14,Northern Natural Gas Company
4/21/2020,5/1/2020,10,Northern Natural Gas Company
5/6/2020,6/1/2020,26,Northern Natural Gas Company
6/11/2020,6/14/2020,3,Northern Natural Gas Company
6/26/2020,8/1/2020,36,Northern Natural Gas Company
8/1/2020,8/17/2020,16,Northern Natural Gas Company
8/18/2020,10/1/2020,44,Northern Natural Gas Company
10/1/2020,10/13/2020,12,Northern Natural Gas Company
10/26/2020,11/1/2020,6,Northern Natural Gas Company
11/1/2020,11/5/2020,4,Northern Natural Gas Company
11/6/2020,11/10/2020,4,Northern Natural Gas Company
11/12/2020,12/1/2020,19,Northern Natural Gas Company
12/1/2020,12/15/2020,14,Northern Natural Gas Company
3/29/2018,4/1/2018,3,"Pine Prairie Energy Center, LLC"
2/19/2021,2/21/2021,2,"North Baja Pipeline, LLC"
12/10/2021,12/12/2021,2,"North Baja Pipeline, LLC"
12/17/2021,12/19/2021,2,"North Baja Pipeline, LLC"
9/1/2020,9/29/2020,28,"Ozark Gas Transmission, L.L.C."
9/29/2020,10/1/2020,2,"Ozark Gas Transmission, L.L.C."
10/1/2020,10/9/2020,8,"Ozark Gas Transmission, L.L.C."
10/9/2020,10/17/2020,8,"Ozark Gas Transmission, L.L.C."
10/19/2020,10/27/2020,8,"Ozark Gas Transmission, L.L.C."
3/29/2018,4/1/2018,3,"Stagecoach Pipeline and Storage Company, LLC"
4/1/2018,4/5/2018,4,"Stagecoach Pipeline and Storage Company, LLC"
8/1/2018,8/4/2018,3,"Stagecoach Pipeline and Storage Company, LLC"
8/11/2018,8/13/2018,2,"Stagecoach Pipeline and Storage Company, LLC"
8/23/2018,8/25/2018,2,"Stagecoach Pipeline and Storage Company, LLC"
9/2/2018,9/4/2018,2,"Stagecoach Pipeline and Storage Company, LLC"
6/26/2020,6/28/2020,2,"Stagecoach Pipeline and Storage Company, LLC"
7/2/2020,7/15/2020,13,"Stagecoach Pipeline and Storage Company, LLC"
8/1/2020,8/3/2020,2,"Stagecoach Pipeline and Storage Company, LLC"
8/6/2020,8/11/2020,5,"Stagecoach Pipeline and Storage Company, LLC"
8/12/2020,8/14/2020,2,"Stagecoach Pipeline and Storage Company, LLC"
2/11/2021,2/13/2021,2,"Stagecoach Pipeline and Storage Company, LLC"
4/5/2021,4/7/2021,2,"Stagecoach Pipeline and Storage Company, LLC"
5/11/2021,5/13/2021,2,"Stagecoach Pipeline and Storage Company, LLC"
7/15/2021,7/18/2021,3,"Stagecoach Pipeline and Storage Company, LLC"
7/30/2021,8/1/2021,2,"Stagecoach Pipeline and Storage Company, LLC"
8/17/2021,8/19/2021,2,"Stagecoach Pipeline and Storage Company, LLC"
9/1/2021,9/20/2021,19,"Stagecoach Pipeline and Storage Company, LLC"
9/26/2021,9/28/2021,2,"Stagecoach Pipeline and Storage Company, LLC"
10/6/2021,10/8/2021,2,"Stagecoach Pipeline and Storage Company, LLC"
10/18/2021,10/20/2021,2,"Stagecoach Pipeline and Storage Company, LLC"
10/26/2021,10/29/2021,3,"Stagecoach Pipeline and Storage Company, LLC"
11/9/2021,11/12/2021,3,"Stagecoach Pipeline and Storage Company, LLC"
12/10/2021,12/14/2021,4,"Stagecoach Pipeline and Storage Company, LLC"
12/22/2021,12/24/2021,2,"Stagecoach Pipeline and Storage Company, LLC"
5/5/2021,5/14/2021,9,"Florida Gas Transmission Company, LLC"
11/24/2021,11/30/2021,6,"Florida Gas Transmission Company, LLC"
12/2/2021,12/5/2021,3,"Florida Gas Transmission Company, LLC"
10/20/2018,10/22/2018,2,"Enable Gas Transmission, LLC"
5/13/2020,5/19/2020,6,"MountainWest Overthrust Pipeline, LLC"
5/26/2020,5/28/2020,2,"MountainWest Overthrust Pipeline, LLC"
5/29/2020,6/1/2020,3,"MountainWest Overthrust Pipeline, LLC"
