01/01/2018,01/15/2018
01/16/2018,01/31/2018
02/01/2018,02/15/2018
02/16/2018,02/28/2018
03/01/2018,03/15/2018
03/16/2018,03/31/2018
04/01/2018,04/15/2018
04/16/2018,04/30/2018
05/01/2018,05/15/2018
05/16/2018,05/31/2018
06/01/2018,06/15/2018
06/16/2018,06/30/2018
07/01/2018,07/15/2018
07/16/2018,07/31/2018
08/01/2018,08/15/2018
08/16/2018,08/31/2018
09/01/2018,09/15/2018
09/16/2018,09/30/2018
10/01/2018,10/15/2018
10/16/2018,10/31/2018
11/01/2018,11/15/2018
11/16/2018,11/30/2018
12/01/2018,12/15/2018
12/16/2018,12/31/2018
01/01/2019,01/15/2019
01/16/2019,01/31/2019
02/01/2019,02/15/2019
02/16/2019,02/28/2019
03/01/2019,03/15/2019
03/16/2019,03/31/2019
04/01/2019,04/15/2019
04/16/2019,04/30/2019
05/01/2019,05/15/2019
05/16/2019,05/31/2019
06/01/2019,06/15/2019
06/16/2019,06/30/2019
07/01/2019,07/15/2019
07/16/2019,07/31/2019
08/01/2019,08/15/2019
08/16/2019,08/31/2019
09/01/2019,09/15/2019
09/16/2019,09/30/2019
10/01/2019,10/15/2019
10/16/2019,10/31/2019
11/01/2019,11/15/2019
11/16/2019,11/30/2019
12/01/2019,12/15/2019
12/16/2019,12/31/2019
01/01/2020,01/15/2020
01/16/2020,01/31/2020
02/01/2020,02/15/2020
02/16/2020,02/29/2020
03/01/2020,03/15/2020
03/16/2020,03/31/2020
04/01/2020,04/15/2020
04/16/2020,04/30/2020
05/01/2020,05/15/2020
05/16/2020,05/31/2020
06/01/2020,06/15/2020
06/16/2020,06/30/2020
07/01/2020,07/15/2020
07/16/2020,07/31/2020
08/01/2020,08/15/2020
08/16/2020,08/31/2020
09/01/2020,09/15/2020
09/16/2020,09/30/2020
10/01/2020,10/15/2020
10/16/2020,10/31/2020
11/01/2020,11/15/2020
11/16/2020,11/30/2020
12/01/2020,12/15/2020
12/16/2020,12/31/2020
01/01/2021,01/15/2021
01/16/2021,01/31/2021
02/01/2021,02/15/2021
02/16/2021,02/28/2021
03/01/2021,03/15/2021
03/16/2021,03/31/2021
04/01/2021,04/15/2021
04/16/2021,04/30/2021
05/01/2021,05/15/2021
05/16/2021,05/31/2021
06/01/2021,06/15/2021
06/16/2021,06/30/2021
07/01/2021,07/15/2021
07/16/2021,07/31/2021
08/01/2021,08/15/2021
08/16/2021,08/31/2021
09/01/2021,09/15/2021
09/16/2021,09/30/2021
10/01/2021,10/15/2021
10/16/2021,10/31/2021
11/01/2021,11/15/2021
11/16/2021,11/30/2021
12/01/2021,12/15/2021
12/16/2021,12/31/2021
